,subject,frame,contact_type
89,B48908,12375.jpg,"[[3, 1], [5, 4], [12, 12], [12, 13], [12, 11], [5, 15], [12, 10], [7, 6], [12, 9]]"
90,B48908,12500.jpg,"[[3, 1], [5, 4], [12, 12], [5, 15], [12, 10], [7, 6], [18, 18]]"
91,B48908,12625.jpg,"[[3, 1], [5, 4], [12, 12], [5, 15], [12, 10], [7, 6], [18, 18]]"
92,B48908,12750.jpg,"[[0, 0], [0, 1], [17, 19], [3, 15], [18, 20], [12, 10], [12, 12], [12, 13], [7, 6], [5, 4]]"
93,B48908,12875.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [16, 1], [18, 16], [12, 10], [12, 12], [12, 11], [12, 13], [17, 19], [5, 15], [0, 0]]"
94,B48908,13000.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [16, 1], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6]]"
95,B48908,13125.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [16, 1], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6], [13, 14]]"
96,B48908,13250.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [16, 1], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6], [11, 13], [12, 9]]"
97,B48908,13375.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6], [12, 9], [13, 14]]"
98,B48908,13500.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6], [12, 9], [13, 14], [16, 1]]"
99,B48908,13625.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6], [12, 9], [13, 14], [16, 1]]"
100,B48908,13750.jpg,"[[3, 1], [5, 4], [7, 6], [16, 16], [18, 16], [12, 10], [12, 12], [5, 15], [10, 6], [12, 9], [13, 14], [16, 1], [11, 13]]"
101,B48908,13875.jpg,"[[3, 1], [5, 4], [7, 6], [18, 16], [12, 10], [12, 12], [5, 15], [12, 9], [13, 14], [11, 13]]"
102,B48908,14000.jpg,"[[3, 1], [5, 4], [7, 6], [18, 16], [12, 10], [12, 12], [5, 15], [12, 9], [13, 14], [11, 13], [19, 0], [12, 11]]"
103,B48908,14125.jpg,"[[3, 1], [5, 4], [7, 6], [18, 16], [12, 10], [12, 12], [5, 15], [12, 9], [13, 14], [11, 13], [12, 11], [10, 6], [10, 16]]"
104,B48908,14250.jpg,"[[3, 1], [5, 4], [7, 6], [12, 10], [12, 12], [5, 15], [12, 9], [13, 14], [11, 13], [12, 11], [10, 6], [10, 16], [16, 1]]"
105,B48908,14375.jpg,"[[3, 1], [5, 4], [7, 6], [12, 10], [12, 12], [5, 15], [12, 9], [13, 14], [12, 11], [10, 6], [10, 16], [16, 1], [19, 19]]"
106,B48908,14500.jpg,"[[3, 1], [5, 4], [7, 6], [12, 10], [12, 12], [5, 15], [12, 9], [12, 11], [10, 6], [10, 16], [16, 0], [18, 16]]"
107,B48908,14625.jpg,"[[10, 8], [10, 10], [12, 12], [12, 11], [14, 13], [19, 3], [19, 5], [19, 16], [20, 4], [20, 6], [20, 15]]"
108,B48908,14750.jpg,"[[19, 16], [19, 4], [19, 3], [19, 0], [20, 4], [20, 15], [20, 3], [18, 17]]"
109,B48908,15750.jpg,"[[7, 14], [19, 7], [19, 9], [19, 8], [20, 5], [20, 3], [20, 4], [20, 15], [18, 5], [18, 16]]"
110,B48908,16125.jpg,"[[10, 6]]"
111,B48908,16500.jpg,"[[10, 6], [10, 10]]"
112,B48908,16625.jpg,"[[10, 6], [10, 10]]"
113,B48908,17125.jpg,"[[19, 9], [19, 5], [17, 6], [19, 7], [19, 15], [19, 6], [17, 4], [10, 6]]"
114,B48908,17500.jpg,"[[10, 6], [10, 18]]"
115,B48908,17625.jpg,"[[19, 4], [19, 6]]"
116,B48908,18000.jpg,"[[10, 6], [19, 8]]"
117,B48908,18500.jpg,"[[10, 6]]"
118,B48908,18625.jpg,"[[19, 4], [19, 16], [19, 3], [20, 4], [20, 15], [20, 3]]"
119,B48908,18750.jpg,"[[19, 4], [19, 16], [19, 3], [20, 4], [20, 15], [20, 3], [10, 13], [10, 14]]"
120,B48908,18875.jpg,"[[10, 13], [19, 4], [19, 16], [19, 3], [20, 15], [20, 3]]"
121,B48908,19000.jpg,"[[20, 4], [20, 15], [3, 19], [10, 11], [12, 11], [12, 13], [9, 8], [3, 0], [5, 3], [5, 5], [9, 6]]"
122,B48908,19125.jpg,"[[5, 13], [20, 1], [19, 2], [20, 4], [19, 4], [19, 16], [20, 15], [18, 6], [17, 6], [18, 8], [17, 8], [16, 9], [15, 10]]"
123,B00157,00750.jpg,"[[18, 10]]"
124,B00157,08400.jpg,"[[19, 20]]"
125,B00157,12450.jpg,"[[19, 3], [19, 16], [17, 3], [17, 0], [15, 17]]"
126,B00157,12600.jpg,"[[0, 1], [17, 3], [15, 15], [11, 17], [13, 6]]"
127,B00157,12750.jpg,"[[17, 15], [17, 17], [11, 17], [13, 6]]"
128,B00157,12900.jpg,"[[0, 1], [18, 16], [17, 17], [11, 17], [13, 6]]"
129,B00157,13050.jpg,"[[17, 17], [11, 17], [13, 6], [18, 16], [16, 1]]"
130,B00157,13200.jpg,"[[17, 17], [11, 17], [13, 6]]"
131,B00157,13350.jpg,"[[17, 17], [11, 17], [13, 6], [18, 16], [0, 0]]"
132,B00157,13500.jpg,"[[17, 15], [17, 17], [17, 3], [20, 3], [20, 16]]"
133,B00157,13650.jpg,"[[18, 16], [18, 4]]"
134,B00157,13800.jpg,"[[19, 3], [19, 15]]"
135,B00157,13950.jpg,"[[18, 16], [0, 1], [11, 17], [13, 6], [20, 20], [3, 1]]"
136,B00157,14100.jpg,"[[18, 18], [11, 17], [13, 6], [3, 1]]"
137,B00157,14250.jpg,"[[11, 17], [13, 6], [5, 4], [10, 18], [0, 1], [3, 1]]"
138,B00157,14400.jpg,"[[11, 17], [13, 6]]"
139,B00157,14550.jpg,"[[0, 1], [11, 17], [13, 6]]"
140,B00157,14700.jpg,"[[17, 15], [17, 3], [19, 11], [13, 6]]"
141,B00157,14850.jpg,"[[17, 17], [19, 19], [0, 1], [3, 1], [13, 6]]"
142,B00157,15000.jpg,"[[0, 1], [19, 19], [17, 17], [18, 16], [3, 1], [13, 6], [5, 4], [17, 15], [20, 20], [17, 19], [10, 16]]"
143,B00157,15150.jpg,"[[0, 1], [19, 19], [17, 17], [18, 16], [3, 1], [13, 6], [5, 4], [17, 15]]"
144,B00157,15300.jpg,"[[0, 1], [19, 19], [17, 17], [18, 16], [3, 1], [13, 6], [5, 4]]"
145,B00157,15450.jpg,"[[18, 18], [5, 4], [13, 6]]"
146,B00157,15600.jpg,"[[13, 6], [0, 1]]"
147,B00157,15750.jpg,"[[13, 6], [0, 1], [17, 17]]"
148,B00157,15900.jpg,"[[17, 3], [17, 15], [19, 3], [20, 12], [19, 16], [11, 17]]"
149,B00157,16050.jpg,"[[19, 19], [17, 17], [19, 17], [13, 6]]"
150,B00157,16200.jpg,"[[20, 12], [18, 18], [13, 6], [19, 11]]"
151,B00157,16350.jpg,"[[19, 9], [20, 10], [20, 8]]"
152,B00157,17100.jpg,"[[19, 3], [19, 15], [20, 16], [20, 4], [20, 3], [13, 6]]"
153,B00157,17250.jpg,"[[13, 6], [10, 18], [11, 17], [3, 1], [5, 4], [18, 18], [19, 11]]"
154,B00157,17400.jpg,"[[13, 6], [10, 18], [11, 17], [3, 1], [5, 4], [19, 11]]"
155,B00157,17550.jpg,"[[13, 6], [10, 18], [11, 17], [3, 1], [5, 4]]"
156,B00157,18150.jpg,"[[20, 14]]"
157,B00157,18450.jpg,"[[20, 11]]"
158,B00157,18750.jpg,"[[20, 17], [20, 9], [19, 20]]"
159,B00157,21600.jpg,"[[20, 19]]"
160,B49249,03300.jpg,"[[20, 8], [20, 10]]"
161,B49249,05400.jpg,"[[19, 6]]"
162,B49249,11850.jpg,"[[19, 3], [19, 16], [19, 4], [20, 15], [20, 4], [20, 3], [11, 11]]"
163,B49249,12000.jpg,"[[17, 15], [17, 9], [11, 11], [9, 9], [9, 8], [12, 10], [12, 12]]"
164,B49249,12150.jpg,"[[0, 1], [3, 4], [17, 17], [18, 18], [12, 8], [12, 9], [11, 11], [12, 10], [12, 12]]"
165,B49249,12300.jpg,"[[0, 1], [3, 4], [12, 8], [12, 9], [11, 11], [12, 10], [12, 12]]"
166,B49249,12450.jpg,"[[17, 15], [17, 3], [19, 3], [19, 16], [18, 8], [12, 10], [17, 11], [19, 12], [11, 11], [12, 12]]"
167,B49249,12600.jpg,"[[3, 4], [0, 1], [3, 1], [12, 8], [11, 9], [11, 11], [12, 10], [12, 12], [13, 14]]"
168,B49249,12750.jpg,"[[3, 4], [0, 1], [12, 8], [11, 9], [11, 11], [12, 10], [12, 12], [13, 14], [0, 2], [0, 15], [18, 18]]"
169,B49249,12900.jpg,"[[3, 4], [0, 1], [12, 8], [11, 9], [11, 11], [12, 10], [12, 12], [13, 14], [0, 2], [18, 18]]"
170,B49249,13050.jpg,"[[19, 15], [20, 16], [20, 3], [11, 9], [11, 11], [11, 12], [12, 10]]"
171,B49249,13200.jpg,"[[17, 17], [19, 19], [18, 16], [11, 19], [12, 8], [12, 10], [11, 9], [11, 11], [11, 12]]"
172,B49249,13350.jpg,"[[20, 3], [18, 16], [20, 16], [18, 18], [20, 18], [11, 11], [11, 12], [12, 10], [11, 9]]"
173,B49249,13500.jpg,"[[19, 15], [19, 3], [20, 3], [20, 16], [20, 5], [19, 5], [9, 9], [11, 11], [12, 8], [12, 10], [12, 12], [3, 4], [3, 1], [20, 4], [19, 4], [5, 6]]"
174,B49249,13650.jpg,"[[0, 1], [9, 9], [11, 11], [12, 10], [12, 12], [12, 8], [3, 4]]"
175,B49249,13800.jpg,"[[17, 15], [19, 0], [17, 3], [20, 3], [20, 16], [12, 10], [12, 12], [13, 14], [11, 9], [11, 11]]"
176,B49249,13950.jpg,"[[0, 1], [0, 16], [3, 4], [3, 6], [17, 9], [17, 17], [18, 18], [12, 8], [9, 9], [11, 11], [11, 12], [12, 10]]"
177,B49249,14100.jpg,"[[19, 5], [17, 5], [17, 15], [17, 3], [19, 3], [3, 4], [3, 6], [20, 20], [11, 11], [9, 9], [12, 8], [12, 10], [13, 12]]"
178,B49249,14250.jpg,"[[17, 5], [17, 15], [19, 5], [20, 20], [17, 9], [17, 7], [9, 17], [11, 19], [11, 11], [9, 9], [12, 8], [19, 10], [12, 10], [13, 12], [3, 4]]"
179,B49249,14400.jpg,"[[12, 8], [9, 9], [11, 11], [12, 10], [12, 12], [3, 4], [17, 17], [18, 16]]"
180,B49249,14550.jpg,"[[10, 20], [10, 18], [18, 16], [18, 3], [20, 3], [20, 2], [20, 15], [11, 9], [11, 11], [12, 10], [12, 12]]"
181,B49249,14700.jpg,"[[0, 0], [0, 1], [0, 2], [0, 15], [3, 4], [3, 6], [19, 19], [17, 9], [11, 9], [11, 11], [12, 10], [12, 8], [12, 12], [18, 18]]"
182,B49249,14850.jpg,"[[12, 10], [12, 8], [12, 12], [11, 9], [11, 11], [3, 4], [3, 6], [0, 0]]"
183,B49249,15000.jpg,"[[12, 10], [12, 8], [12, 12], [11, 9], [11, 11], [3, 4], [18, 16], [3, 1], [0, 1]]"
184,B49249,15150.jpg,"[[12, 10], [12, 8], [12, 12], [11, 9], [11, 11], [3, 4], [18, 16], [3, 1], [18, 18], [18, 20], [16, 16], [16, 1], [17, 17], [17, 19], [19, 19]]"
185,B49249,15300.jpg,"[[12, 10], [12, 8], [12, 12], [11, 9], [11, 11], [3, 4], [18, 16], [18, 18], [16, 16], [17, 17], [17, 19], [0, 1]]"
186,B49249,15450.jpg,"[[19, 9], [10, 18], [10, 20], [18, 16], [18, 3], [20, 3], [12, 8], [11, 9], [11, 11], [12, 10], [12, 12]]"
187,B49249,16350.jpg,"[[3, 8]]"
188,B49249,19800.jpg,"[[20, 1]]"
189,B49249,21450.jpg,"[[20, 19]]"
190,B49249,21600.jpg,"[[20, 1]]"
191,B49249,21750.jpg,"[[20, 1]]"
192,B85387,00600.jpg,"[[19, 11]]"
193,B85387,00750.jpg,"[[20, 6], [20, 8]]"
194,B85387,01050.jpg,"[[20, 6], [11, 13], [20, 8]]"
195,B85387,01200.jpg,"[[20, 6], [11, 13], [20, 8]]"
196,B85387,01350.jpg,"[[20, 6], [20, 8]]"
197,B85387,01500.jpg,"[[20, 4], [20, 6], [19, 4], [20, 15], [19, 16], [18, 19], [18, 17], [19, 3], [20, 5]]"
198,B85387,03000.jpg,"[[20, 6]]"
199,B85387,03150.jpg,"[[20, 6], [20, 8]]"
200,B85387,03300.jpg,"[[20, 6], [20, 8]]"
201,B85387,03450.jpg,"[[20, 6], [20, 8]]"
202,B85387,05850.jpg,"[[19, 13]]"
203,B85387,06450.jpg,"[[20, 10], [18, 16]]"
204,B85387,08400.jpg,"[[20, 20], [11, 19], [20, 18]]"
205,B85387,13350.jpg,"[[9, 13]]"
206,B85387,13650.jpg,"[[20, 17], [9, 13]]"
207,B85387,18900.jpg,"[[20, 6], [20, 8]]"
208,B72088,06900.jpg,"[[14, 10]]"
209,B72088,07950.jpg,"[[19, 20]]"
210,B72088,09750.jpg,"[[20, 17]]"
211,B72088,13050.jpg,"[[12, 19], [12, 20], [20, 3], [20, 5], [18, 18], [19, 8]]"
212,B72088,13200.jpg,"[[12, 20], [12, 18]]"
213,B72088,13350.jpg,"[[20, 16], [20, 18], [12, 20], [12, 18], [19, 8], [12, 3]]"
214,B72088,15900.jpg,"[[10, 20], [10, 19], [18, 17]]"
215,B72088,16050.jpg,"[[10, 19]]"
216,B72088,16200.jpg,"[[10, 20], [10, 19]]"
217,B51848,00875.jpg,"[[20, 17]]"
218,B51848,01000.jpg,"[[20, 20]]"
219,B51848,01375.jpg,"[[20, 19]]"
220,B51848,01750.jpg,"[[19, 20]]"
221,B51848,02875.jpg,"[[19, 19]]"
222,B51848,05375.jpg,"[[20, 19]]"
223,B51848,05500.jpg,"[[19, 20]]"
224,B51848,06625.jpg,"[[20, 3]]"
225,B51848,08125.jpg,"[[20, 19]]"
226,B51848,11125.jpg,"[[18, 19], [14, 13]]"
227,B51848,11250.jpg,"[[10, 19]]"
228,B51848,11375.jpg,"[[9, 19], [11, 20], [11, 18], [20, 6]]"
229,B51848,11500.jpg,"[[20, 8], [10, 12], [12, 14], [10, 8], [12, 11], [3, 15], [17, 17], [17, 3], [19, 16], [19, 3], [3, 4], [5, 6]]"
230,B51848,11625.jpg,"[[10, 8], [12, 14], [12, 13], [9, 19], [5, 17], [5, 15], [3, 15], [20, 3], [20, 5], [20, 16], [18, 16], [18, 6], [3, 4], [12, 12]]"
231,B51848,11750.jpg,"[[10, 8], [12, 13], [9, 19], [5, 17], [5, 15], [3, 15], [18, 16], [3, 4], [12, 10], [3, 1], [0, 1]]"
232,B51848,11875.jpg,"[[9, 19], [9, 17], [3, 15], [5, 15], [3, 4], [10, 8], [12, 10], [14, 11], [10, 10], [5, 4], [3, 1]]"
233,B51848,12000.jpg,"[[9, 19], [9, 17], [3, 15], [5, 15], [3, 4], [10, 8], [12, 10], [14, 11], [10, 10], [5, 4], [3, 1], [17, 17], [20, 18]]"
234,B51848,12125.jpg,"[[9, 19], [9, 17], [3, 15], [5, 15], [3, 4], [10, 8], [12, 10], [14, 11], [10, 10], [5, 4], [3, 1], [20, 18]]"
235,B51848,12250.jpg,"[[3, 15], [5, 15], [3, 4], [10, 8], [5, 4], [3, 1], [3, 0], [12, 9], [12, 11], [12, 14], [19, 20], [19, 18]]"
236,B51848,12375.jpg,"[[12, 14], [3, 15], [17, 0], [19, 16], [19, 3], [19, 6], [19, 5], [20, 4], [3, 1]]"
237,B51848,12500.jpg,"[[16, 19], [16, 17], [3, 5], [3, 7], [9, 13], [5, 9], [3, 9], [19, 16], [19, 3], [19, 4], [18, 8], [18, 10], [20, 12], [16, 8], [16, 6]]"
238,B51848,12625.jpg,"[[18, 16], [18, 5], [3, 15], [3, 4], [5, 6], [10, 8], [10, 10], [12, 12], [10, 9]]"
239,B51848,12750.jpg,"[[18, 16], [18, 5], [3, 15], [3, 4], [5, 6], [10, 8], [10, 10], [12, 12], [10, 9], [20, 20], [18, 18], [17, 19]]"
240,B51848,12875.jpg,"[[9, 20], [3, 15], [17, 15], [17, 17], [19, 16], [19, 3], [3, 4], [5, 6], [3, 1], [3, 0], [10, 8], [12, 12], [14, 13]]"
241,B51848,13000.jpg,"[[19, 16], [19, 4], [19, 3], [20, 4], [20, 15], [20, 3], [18, 5], [18, 9]]"
242,B51848,13125.jpg,"[[2, 19], [16, 17], [3, 5], [3, 10], [3, 9], [20, 10], [20, 7], [18, 9], [17, 14], [5, 12], [5, 14], [9, 14], [10, 13], [5, 9]]"
243,B51848,13250.jpg,"[[2, 19], [16, 17], [3, 5], [3, 10], [3, 9], [20, 10], [20, 7], [18, 9], [5, 12], [5, 14], [9, 14], [10, 13], [5, 9], [5, 11], [20, 20]]"
244,B51848,13375.jpg,"[[2, 19], [16, 17], [3, 5], [3, 10], [3, 9], [20, 10], [18, 9], [5, 12], [5, 14], [9, 14], [10, 13], [5, 9], [5, 11], [20, 20], [18, 8]]"
245,B51848,13500.jpg,"[[3, 17], [3, 19], [19, 3], [19, 16], [19, 4], [20, 8], [18, 8], [20, 10], [7, 14], [7, 13], [5, 11], [5, 12], [3, 5], [3, 3]]"
246,B51848,13625.jpg,"[[10, 18], [12, 18], [12, 20], [19, 3], [19, 15], [19, 4], [20, 4], [20, 16], [20, 3], [12, 10], [10, 8], [14, 13]]"
247,B51848,14000.jpg,"[[20, 6], [20, 4]]"
248,B51848,14125.jpg,"[[20, 8], [20, 6]]"
249,B51848,14250.jpg,"[[20, 1]]"
250,B51848,14500.jpg,"[[20, 6]]"
251,B51848,14625.jpg,"[[20, 6]]"
252,B51848,14875.jpg,"[[20, 6], [20, 4], [18, 6]]"
253,B51848,15500.jpg,"[[19, 3], [20, 5], [18, 8]]"
254,B51848,16375.jpg,"[[20, 17]]"
255,B51848,16500.jpg,"[[20, 19]]"
256,B51848,16625.jpg,"[[20, 19]]"
257,B51848,16750.jpg,"[[20, 19]]"
258,B51848,16875.jpg,"[[20, 19]]"
259,B51848,17000.jpg,"[[20, 19]]"
260,B51848,17125.jpg,"[[20, 19]]"
261,B51848,17250.jpg,"[[20, 19]]"
262,B51848,18625.jpg,"[[19, 0]]"
263,B51848,19250.jpg,"[[18, 0]]"
264,B51848,19375.jpg,"[[19, 19], [20, 19]]"
265,B51848,19625.jpg,"[[19, 19]]"
